Training mislabeled(final epoch): 3/184
Training Accuracy(final epoch): 98.3695652173913%
Training Error(final epoch): 0.012565016841141396
Training Prediction(final epoch): entries marked with * are mis-labeled
1. gestures/A/A_down_4.pgm => 1
2. gestures/A/A_down_6.pgm => 0
3. gestures/A/A_down_7.pgm => 0
4. gestures/A/A_down_8.pgm => 1
5. gestures/A/A_down_9.pgm => 0
6. gestures/A/A_hold_3.pgm => 0
7. gestures/A/A_hold_4.pgm => 0
8. gestures/A/A_hold_5.pgm => 0
9. gestures/A/A_hold_8.pgm => 0
10. gestures/A/A_hold_9.pgm => 0 * 
11. gestures/A/A_stop_5.pgm => 0
12. gestures/A/A_stop_6.pgm => 0
13. gestures/A/A_stop_9.pgm => 0
14. gestures/A/A_up_12.pgm => 0
15. gestures/A/A_up_3.pgm => 1
16. gestures/A/A_up_4.pgm => 0
17. gestures/A/A_up_5.pgm => 0
18. gestures/A/A_up_6.pgm => 0
19. gestures/A/A_up_7.pgm => 0
20. gestures/A/A_up_8.pgm => 0
21. gestures/A/A_up_9.pgm => 0
22. gestures/B/B_down_5.pgm => 0
23. gestures/B/B_down_6.pgm => 1
24. gestures/B/B_down_7.pgm => 0
25. gestures/B/B_hold_3.pgm => 0
26. gestures/B/B_hold_4.pgm => 1
27. gestures/B/B_hold_5.pgm => 0
28. gestures/B/B_hold_6.pgm => 1 * 
29. gestures/B/B_stop_3.pgm => 1
30. gestures/B/B_stop_4.pgm => 0
31. gestures/B/B_up_5.pgm => 0
32. gestures/B/B_up_6.pgm => 0
33. gestures/B/B_up_7.pgm => 0
34. gestures/C/C_down_5.pgm => 0
35. gestures/C/C_down_6.pgm => 1
36. gestures/C/C_hold_3.pgm => 1
37. gestures/C/C_stop_4.pgm => 0
38. gestures/C/C_stop_5.pgm => 0
39. gestures/C/C_stop_6.pgm => 0
40. gestures/C/C_up_5.pgm => 0
41. gestures/C/C_up_6.pgm => 0
42. gestures/D/D_down_3.pgm => 0
43. gestures/D/D_down_6.pgm => 0
44. gestures/D/D_hold_3.pgm => 0
45. gestures/D/D_hold_4.pgm => 0
46. gestures/D/D_hold_5.pgm => 1 * 
47. gestures/D/D_hold_7.pgm => 0
48. gestures/D/D_stop_3.pgm => 0
49. gestures/D/D_stop_4.pgm => 0
50. gestures/D/D_stop_6.pgm => 1
51. gestures/D/D_up_4.pgm => 0
52. gestures/D/D_up_5.pgm => 1
53. gestures/D/D_up_6.pgm => 0
54. gestures/E/E_down_2.pgm => 1
55. gestures/E/E_down_6.pgm => 0
56. gestures/E/E_down_7.pgm => 0
57. gestures/E/E_hold_6.pgm => 1
58. gestures/E/E_stop_3.pgm => 1
59. gestures/E/E_stop_6.pgm => 1
60. gestures/E/E_up_3.pgm => 0
61. gestures/E/E_up_4.pgm => 0
62. gestures/E/E_up_5.pgm => 0
63. gestures/E/E_up_8.pgm => 1
64. gestures/E/E_up_9.pgm => 0
65. gestures/F/F_down_5.pgm => 0
66. gestures/F/F_down_6.pgm => 0
67. gestures/F/F_down_7.pgm => 0
68. gestures/F/F_down_8.pgm => 1
69. gestures/F/F_hold_3.pgm => 1
70. gestures/F/F_hold_4.pgm => 1
71. gestures/F/F_hold_7.pgm => 0
72. gestures/F/F_stop_1.pgm => 1
73. gestures/F/F_stop_6.pgm => 0
74. gestures/F/F_stop_7.pgm => 1
75. gestures/F/F_up_1.pgm => 0
76. gestures/F/F_up_2.pgm => 0
77. gestures/F/F_up_5.pgm => 1
78. gestures/G/G_down_1.pgm => 1
79. gestures/G/G_down_4.pgm => 1
80. gestures/G/G_down_5.pgm => 0
81. gestures/G/G_down_6.pgm => 0
82. gestures/G/G_hold_1.pgm => 0
83. gestures/G/G_hold_5.pgm => 1
84. gestures/G/G_hold_6.pgm => 0
85. gestures/G/G_stop_1.pgm => 0
86. gestures/G/G_stop_6.pgm => 0
87. gestures/G/G_stop_7.pgm => 1
88. gestures/G/G_up_1.pgm => 1
89. gestures/G/G_up_6.pgm => 0
90. gestures/G/G_up_7.pgm => 1
91. gestures/H/H_down_1.pgm => 1
92. gestures/H/H_down_5.pgm => 0
93. gestures/H/H_down_6.pgm => 1
94. gestures/H/H_down_7.pgm => 0
95. gestures/H/H_hold_1.pgm => 0
96. gestures/H/H_hold_6.pgm => 0
97. gestures/H/H_hold_7.pgm => 0
98. gestures/H/H_hold_8.pgm => 0
99. gestures/H/H_hold_9.pgm => 1
100. gestures/H/H_stop_1.pgm => 0
101. gestures/H/H_stop_7.pgm => 0
102. gestures/H/H_up_1.pgm => 0
103. gestures/H/H_up_4.pgm => 0
104. gestures/H/H_up_6.pgm => 1
105. gestures/I/I_down_1.pgm => 0
106. gestures/I/I_down_2.pgm => 0
107. gestures/I/I_down_6.pgm => 0
108. gestures/I/I_down_7.pgm => 0
109. gestures/I/I_hold_1.pgm => 1
110. gestures/I/I_hold_6.pgm => 0
111. gestures/I/I_hold_7.pgm => 0
112. gestures/I/I_stop_1.pgm => 0
113. gestures/I/I_stop_7.pgm => 1
114. gestures/I/I_up_1.pgm => 0
115. gestures/I/I_up_6.pgm => 0
116. gestures/I/I_up_7.pgm => 0
117. gestures/J/J_down_1.pgm => 0
118. gestures/J/J_down_2.pgm => 0
119. gestures/J/J_down_7.pgm => 0
120. gestures/J/J_down_8.pgm => 0
121. gestures/J/J_hold_1.pgm => 0
122. gestures/J/J_hold_6.pgm => 0
123. gestures/J/J_stop_1.pgm => 0
124. gestures/J/J_stop_2.pgm => 0
125. gestures/J/J_stop_3.pgm => 0
126. gestures/J/J_stop_6.pgm => 0
127. gestures/J/J_stop_9.pgm => 1
128. gestures/J/J_up_3.pgm => 1
129. gestures/J/J_up_6.pgm => 1
130. gestures/J/J_up_7.pgm => 0
131. gestures/K/K_down_1.pgm => 0
132. gestures/K/K_down_5.pgm => 1
133. gestures/K/K_down_8.pgm => 1
134. gestures/K/K_hold_4.pgm => 0
135. gestures/K/K_hold_7.pgm => 0
136. gestures/K/K_hold_8.pgm => 0
137. gestures/K/K_hold_9.pgm => 1
138. gestures/K/K_stop_3.pgm => 0
139. gestures/K/K_stop_6.pgm => 0
140. gestures/K/K_stop_7.pgm => 0
141. gestures/K/K_stop_8.pgm => 0
142. gestures/K/K_up_1.pgm => 0
143. gestures/K/K_up_2.pgm => 0
144. gestures/K/K_up_3.pgm => 0
145. gestures/K/K_up_6.pgm => 0
146. gestures/K/K_up_7.pgm => 0
147. gestures/L/L_down_1.pgm => 0
148. gestures/L/L_down_2.pgm => 0
149. gestures/L/L_down_3.pgm => 0
150. gestures/L/L_down_6.pgm => 0
151. gestures/L/L_down_8.pgm => 0
152. gestures/L/L_hold_1.pgm => 0
153. gestures/L/L_hold_2.pgm => 0
154. gestures/L/L_hold_5.pgm => 0
155. gestures/L/L_hold_6.pgm => 0
156. gestures/L/L_stop_1.pgm => 0
157. gestures/L/L_stop_2.pgm => 0
158. gestures/L/L_stop_3.pgm => 0
159. gestures/L/L_stop_4.pgm => 0
160. gestures/L/L_up_2.pgm => 0
161. gestures/L/L_up_3.pgm => 1
162. gestures/L/L_up_4.pgm => 0
163. gestures/L/L_up_6.pgm => 0
164. gestures/M/M_down_1.pgm => 0
165. gestures/M/M_down_2.pgm => 1
166. gestures/M/M_down_3.pgm => 1
167. gestures/M/M_down_4.pgm => 1
168. gestures/M/M_down_7.pgm => 0
169. gestures/M/M_down_8.pgm => 0
170. gestures/M/M_hold_1.pgm => 1
171. gestures/M/M_hold_2.pgm => 1
172. gestures/M/M_hold_5.pgm => 0
173. gestures/M/M_hold_6.pgm => 1
174. gestures/M/M_stop_1.pgm => 0
175. gestures/M/M_stop_2.pgm => 0
